Title,Year,Director,Producer,Genres,Summary,Duration,Budget,Revenue,Ratings,Vote Count,Popularity,Content Rating,Original Language,Production Companies,Production Countries,Spoken Languages,Tagline,Adult,Movie ID
Richard the Stork and the Mystery of the Great Jewel,2023,Mette Tange,Kristine Knudsen,"Animation, Adventure, Comedy, Family","Richard, a sparrow adopted by a stork family, is wintering at the Great Lake in Northern Africa. When he realises that he won’t be the one to lead his flock back North, Richard decides to travel on his own and crosses paths with Samia and her sparrow flock, who are being held captive by evil marabous under the control of greedy peacock Zamano. The only chance of freedom for the sparrows is to solve a riddle and find the Great Jewel, which will call upon teamwork, trust and most of all- spork (sparrow + stork) skills.",84,0,6500000,6.8,8,28.653,PG,en,"Knudsen Pictures, Walking The Dog, Den Siste Skilling, Nordisk Film Norway, BNP Paribas Fortis, Senator Film, Magellan Films, Mediefondet Zefyr, NDR","Belgium, Germany, Norway",English,,FALSE,1061855
Craig Before the Creek,2023,Matt Burnett,Lisa Zunich,"Animation, Family, TV Movie, Adventure, Comedy, Fantasy","Before he was Craig of the Creek, he was just Craig — a new kid in a new town. All Craig wants is to go back to his old friends at his old home. But when he learns that the nearby creek is hiding a lost treasure that could make his wish come true, Craig sets off on a journey to find it — navigating the perilous suburban wilderness, forging new friendships, all while being pursued by a fearsome band of pirates who are bent on destroying the Creek itself.",88,0,0,7.575,53,28.65,PG,en,Cartoon Network Studios,United States of America,English,Before he made friends he found adventure.,FALSE,928833
The Miracle Club,2023,Thaddeus O'Sullivan,Larry Bass,"Comedy, Drama","Three close friends who have never left the outskirts of Dublin (much less Ireland) get the journey of a lifetime — a visit to Lourdes, the picturesque French town and place of miracles.",90,0,6800000,6.043,70,28.538,12A,en,"Zephyr Films, City Films, Ingenious Media, ShinAwiL, Embankment Films","Ireland, United Kingdom, United States of America",English,Four women went to Lourdes in search of a miracle.,FALSE,830721
The Three Musketeers: D'Artagnan,2023,Martin Bourboulon,Dimitri Rassam,"Adventure, Action, Drama, History","D'Artagnan, a spirited young Gascon, is left for dead after trying to save a noblewoman from being kidnapped. Once in Paris, he tries by all means to find his attackers, unaware that his quest will lead him to the very heart of a war where the future of France is at stake. Aided by King's Musketeers Athos, Porthos and Aramis, he faces the machinations of villainous Cardinal Richelieu and Milady de Winter, while falling in love with Constance, the Queen's confidante.",121,27500000,31843086,6.99,1143,28.416,15,fr,"Pathé, Chapter 2, M6 Films, Constantin Film, ZDF, uMedia, DeAPlaneta","Belgium, France, Germany, Spain","Deutsch, Latin, Español, English, Italiano, Français",One for all and all for France!,FALSE,796185
Butcher's Crossing,2023,Gabe Polsky,Gabe Polsky,"Western, Drama","In the 1870s, a young Harvard dropout seeks his destiny out West by tying his fate to a team of buffalo hunters led by a man named Miller. Together, they embark on a harrowing journey risking life and sanity.",105,0,15648,5.967,135,28.402,15,en,"Gabriel Polsky Productions, Phiphen Pictures, Altitude Film Entertainment, Ingenious Media, Saban Films, Saturn Films","United Kingdom, United States of America",English,Nature judges like a god all men that come to her.,FALSE,843846
Suitable Flesh,2023,Joe Lynch,Bob Portal,"Horror, Thriller, Comedy","A once-esteemed psychiatrist helplessly watches her life spiral into a nightmarish maelstrom of supernatural hysteria and gruesome deaths, all linked to a seemingly unstoppable ancient curse.",99,0,0,5.333,84,28.196,18,en,"Eyevox, AMP",United States of America,English,Who do you think you are!,FALSE,1006947
Natty Knocks,2023,Dwight H. Little,Sandy Little,"Horror, Thriller","On Halloween Eve, Britt and the kids she is babysitting have to survive the horror of serial killer Abner Honeywell, who is himself the traumatized son of B-movie horror legend ""Natty Knocks"".",90,0,0,5.19,21,28.183,18,en,,United States of America,English,,FALSE,960469
Bottoms,2023,Emma Seligman,Max Handelman,Comedy,Unpopular best friends PJ and Josie start a high school self-defense club to meet girls and lose their virginity. They soon find themselves in over their heads when the most popular students start beating each other up in the name of self-defense.,91,11300000,12725395,6.7,581,28.076,14A,en,"Brownstone Productions, Orion Pictures",United States of America,English,A movie about empowering women (the hot ones),FALSE,814776
American Fiction,2023,Cord Jefferson,Ben LeClair,"Comedy, Drama","A novelist fed up with the establishment profiting from ""Black"" entertainment uses a pen name to write a book that propels him into the heart of hypocrisy and the madness he claims to disdain.",117,16000000,22483370,7.353,936,27.898,14A,en,"MRC, T-Street, 3 Arts Entertainment, Almost Infinite",United States of America,English,,FALSE,1056360
Hypnotic,2023,Robert Rodriguez,Lisa Ellzey,"Mystery, Thriller, Science Fiction",A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,93,70000000,16014123,6.238,1174,27.708,15,en,"Studio 8, Solstice Studios, Ingenious Media, Double R Productions","United Kingdom, United States of America","English, Español",Control is an illusion.,FALSE,536437
80 for Brady,2023,Kyle Marvin,Donna Gigliotti,"Comedy, Drama",A quartet of elderly best friends decide to live life to the fullest by taking a wild trip to the Super Bowl LI to see their hero Tom Brady play.,98,28000000,29637811,6.428,146,27.681,12A,en,"199 Productions, Watch This Ready, Fifth Season, Tempesta Films, Paramount Pictures",United States of America,"English, Español, Português",Best friends get into the best kind of trouble.,FALSE,942922
Marlowe,2023,Neil Jordan,Mark Fasano,Crime,Private detective Philip Marlowe becomes embroiled in an investigation involving a wealthy Californian family after a beautiful blonde hires him to track down her former lover.,109,20000000,6262663,5.751,350,27.626,15,en,"Parallel Films, H2L Media Group, Nickel City Pictures, StoryBoard Media, Davis Films, Aperture Media Partners, Elipsis Capital, Jeff Rice Films, The Foley Lab, Briarcliff Entertainment, Fís Éireann/Screen Ireland, Parallel Film Productions","France, Ireland, Spain, United States of America",English,Los Angeles 1939. Outside the spotlight lies a city of secrets.,FALSE,844417
Come Out Fighting,2023,Steven Luke,Aaron Courteau,"War, Drama","In WWII, a squad of U.S. African-American soldiers are sent on a rescue mission behind enemy lines to locate their lost commanding officer and a downed fighter pilot.",86,0,0,4.793,41,27.595,15,en,Schuetzle Company Productions,United States of America,English,Victory in brotherhood.,FALSE,1047925
BlackBerry,2023,Matt Johnson,Niv Fichman,"Drama, Comedy, History",Two mismatched entrepreneurs – egghead innovator Mike Lazaridis and cut-throat businessman Jim Balsillie – joined forces in an endeavour that was to become a worldwide hit in little more than a decade. The story of the meteoric rise and catastrophic demise of the world's first smartphone.,119,5000000,2600000,7.2,533,27.56,15,en,"Zapruder Films, Rhombus Media, IPR.VC, Elevation Pictures","Canada, Finland",English,Work hard. Fail hard.,FALSE,1016084
The Promised Land,2023,Nikolaj Arcel,Louise Vesth,"History, Drama, Action","Denmark, 1755. Captain Ludvig Kahlen sets out to conquer a Danish heath reputed to be uncultivable, with an impossible goal: to establish a colony in the name of the king, in exchange for a royal title. A single-minded ambition that the ruthless lord of the region will relentlessly seek to put down. Kahlen's fate hangs in the balance: will his endevours bring him wealth and honour, or cost him his life...?",127,8500000,2119043,7.787,277,27.53,14A,da,"Zentropa International Berlin, Zentropa International Sweden, Nordisk Film & TV Fond, Zentropa Entertainments, Film i Väst, Plaion Pictures, SVT, Det Danske Filminstitut, Den Vestdanske Filmpulje, Eurimages, Czech Film Fund, Mitteldeutsche Medienförderung, DFFF, Svenska Filminstitutet (SFI), TV 2, MEDIA Programme of the European Union","Belgium, Czech Republic, Denmark, France, Germany, Norway, Sweden","Dansk, Deutsch, svenska, Norsk",,FALSE,980026
The Hill,2023,Jeff Celentano,Jeff Celentano,"History, Drama","The story of Rickey Hill, who overcomes his physical disability and repairs his relationship with his father in a quest to become a major league baseball (MLB) player.",121,0,7600000,7.718,213,27.524,PG,en,"RainMaker Films, Reserve Entertainment, Vitamin A Films, Rescue Dog Productions",United States of America,"Nederlands, English",Never give up hope.,FALSE,862557
The Black Demon,2023,Adrian Grünberg,Arianne Fraser,"Thriller, Drama","Oilman Paul Sturges' idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature.",101,0,0,5.995,625,27.478,15,en,"Mucho Mas Media, Silk Mass, The Avenue Entertainment, Highland Film Group","United States of America, Mexico, Dominican Republic","English, Español",Nature bites back.,FALSE,890771
The Mother,2023,Niki Caro,Misha Green,"Action, Thriller","A deadly female assassin comes out of hiding to protect the daughter that she gave up years before, while on the run from dangerous men.",115,0,0,6.66,1226,27.356,15,en,"Vertigo Entertainment, Nuyorican Productions",United States of America,"English, Español",Vengeance is a mother!,FALSE,552688
Love at First Sight,2023,Vanessa Caswill,Matt Kaplan,"Romance, Drama","Hadley and Oliver begin falling in love on a flight from New York to London, but when they lose each other at customs, can they defy all odds to reunite?",91,0,0,7.247,549,27.225,12,en,ACE Pictures Entertainment,United States of America,English,"100,000 daily flights around the world. 6 million travelers. One connection.",FALSE,353577
Sniper: G.R.I.T. - Global Response & Intelligence Team,2023,Oliver Thompson,Bay Dariz,"Action, Thriller","When an international terrorist cult threatens global political stability and kidnaps a fellow agent, Ace Sniper Brandon Beckett and the newly-formed Global Response & Intelligence Team – or G.R.I.T. – led by Colonel Stone must travel across the world to Malta, infiltrate the cult, and take out its leader to free Lady Death and stop the global threat.",92,0,0,6.613,137,27.12,15,en,"Destination Films, Minutehand Pictures",United States of America,English,,FALSE,1171541
The Ritual Killer,2023,George Gallo,Monika Bacardi,"Mystery, Thriller, Action, Drama","Unable to process the death of his daughter, Detective Boyd embarks on a hunt for a serial killer who murders according to a brutal tribal ritual: Muti. The only person who can help Boyd is Professor Mackles, an anthropologist who hides an unspeakable secret. The line between sanity and madness thins as Boyd goes deeper into the killer’s world.",92,7000000,0,5.9,280,27.088,15,en,"Wonderfilm Media, Black Diamond Films",United States of America,English,,FALSE,862552
Sakra,2023,Donnie Yen,Wong Jing,Action,"Qiao Feng is the respected leader of a roving band of martial artists. After he is wrongfully accused of murder and subsequently exiled, Qiao Feng goes on the run in search of answers about his own mysterious origin story—and the unknown enemies working to destroy him from the shadows.",130,0,159959,6.4,152,27.069,15,cn,"Wishart Media, Super Bullet Pictures","China, Hong Kong","广州话 / 廣州話, 普通话","When a warrior belongs nowhere, the enemy is everywhere.",FALSE,990140
24 Hours with Gaspar,2023,Yosep Anggi Noen,Yulia Evina Bhara,"Action, Crime, Drama, Mystery, Science Fiction, Thriller","With only 24 hours left to live, a private investigator follows a trail of confounding clues to uncover the disappearance of his childhood friend.",98,0,0,6.75,72,26.829,R,id,"Visinema Pictures, KawanKawan Media, Legacy Pictures",Indonesia,Bahasa indonesia,,FALSE,1013240
Peter Pan & Wendy,2023,David Lowery,Jim Whitaker,"Family, Fantasy, Action, Adventure","Wendy Darling, a young girl afraid to leave her childhood home behind, meets Peter Pan, a boy who refuses to grow up. Alongside her brothers and a tiny fairy, Tinker Bell, she travels with Peter to the magical world of Neverland. There, she encounters an evil pirate captain, Captain Hook, and embarks on a thrilling adventure that will change her life forever.",106,0,0,5.514,657,26.76,PG,en,"Walt Disney Pictures, Whitaker Entertainment","Canada, United States of America",English,Escape to Neverland.,FALSE,420808
Hunger,2023,Sitisiri Mongkolsiri,Soros Sukhum,Drama,"Aoy is in her twenties when she inherits her family's rat na and pad see ew restaurant in Bangkok's old quarter. Then she's plucked up by team 'Hunger', the country's leading luxury Chef's table team. In her new environment, Aoy gets to know the dark side of genius Chef Paul and the high-end food industry.",145,0,0,7.29,383,26.737,R,th,Song Sound Production,Thailand,ภาษาไทย,There is a hunger that can never be fulfilled.,FALSE,1071806
Family Switch,2023,McG,Lawrence Grey,"Comedy, Fantasy, Family","When the Walker family members switch bodies with each other during a rare planetary alignment, their hilarious journey to find their way back to normal will bring them closer together than they ever thought possible.",106,0,0,6.406,598,26.699,PG,en,"Linden Entertainment, Grey Matter Productions, Wonderland Sound and Vision",United States of America,English,The Walker family is about to change lives. Literally.,FALSE,798021
The Engineer,2023,Danny A. Abeckaser,Danny A. Abeckaser,"Action, Thriller, Mystery","As Israel is rocked by a series of terrorist bombings, a US senator's daughter is killed in one bloody explosion. Now, ex-Mossad agent Etan must lead an elite, covert team of agents and mercenaries to find the man responsible—the elusive “Engineer.” Can they find and destroy the madman before more innocent lives are lost?",93,0,0,6.261,69,26.66,R,en,"2B Films, Yoav Gross Productions","United States of America, Israel",English,The team that took down the mastermind behind the deadliest suicide bombings in history.,FALSE,1156255
Winnie the Pooh: Blood and Honey,2023,Rhys Frake-Waterfield,Rhys Frake-Waterfield,"Horror, Thriller","Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.",84,100000,7700000,5.067,1319,26.438,18,en,"Jagged Edge Productions, ITN Distribution",United Kingdom,English,This ain't no bedtime story.,FALSE,980078
Shin Kamen Rider,2023,Hideaki Anno,Muneyuki Kii,"Action, Drama, Science Fiction, Adventure, Fantasy","A man forced to bear power and stripped of humanity. A woman skeptical of happiness. Takeshi Hongo, an Augmentation made by SHOCKER, and Ruriko Midorikawa, a rebel of the organization, escape while fighting off assassins. What’s justice? What’s evil? Will this violence end? Despite his power, Hongo tries to remain human. Along with freedom, Ruriko has regained a heart. What paths will they choose?",121,0,15787771,6.943,264,26.373,12,ja,"khara, Cine Bazar, Toei Company, Ishimori Productions",Japan,"English, 日本語",Things that change. Things that don't.  ...and things that I wouldn't want to change.,FALSE,813477
The Blind,2023,Andrew Hyatt,Brittany Yost,Drama,"Long before Duck Dynasty's Phil Robertson became a reality TV star, he fell in love with Miss Kay and started a family, but his demons threatened to tear their lives apart. Set in the backwoods swamps of 1960s Louisiana, 'The Blind' shares never-before-revealed moments in Phil's life as he seeks to conquer the shame of his past, ultimately finding redemption in an unlikely place. This stunning cinematic journey chronicles the love story that launched a dynasty, the turmoil that nearly brought it crashing down, and the hope that rose from the ashes to create a foundation for generations to come.",110,30000000,17265487,7,23,26.348,14A,en,"Tread Lively, GND Media Group, Stacey Films",United States of America,"English, Português",The true story of the Robertson family.,FALSE,1032194
Sly,2023,Thom Zimny,Sean M. Stuart,Documentary,"His love of film began as an escape from a rocky childhood. From underdog to Hollywood legend, Sylvester Stallone tells his story in this documentary.",97,0,0,7.271,164,26.288,R,en,"Balboa Productions, Zanker Delcanto Productions, Critical Content",United States of America,English,Meet the man behind the hero.,FALSE,1146302
Knock at the Cabin,2023,M. Night Shyamalan,M. Night Shyamalan,"Thriller, Mystery","While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.",100,20000000,54700000,6.29,2544,26.114,14A,en,"Blinding Edge Pictures, FilmNation Entertainment, Wishmore",United States of America,English,Save your family or save humanity. Make the choice.,FALSE,631842
Paradise,2023,Boris Kunz,Nathalie Bouteiller-Marin,"Science Fiction, Thriller",A man sees the dark side of the time-manipulating biotech company he works for when a crushing debt forces his wife to give up 40 years of her own life.,117,0,0,6.556,561,26.039,15,de,NEUESUPER,Germany,"Deutsch, English",,FALSE,1140066
Finestkind,2023,Brian Helgeland,Gary Foster,"Crime, Drama, Thriller","Two brothers from opposite sides of the tracks are reunited as adults. Desperate circumstances force them into a deal with an organized crime syndicate in Boston, and a young woman gets caught in the middle.",126,0,0,7,233,26,R,en,"Krasnoff / Foster Entertainment, 101 Studios, Bosque Ranch Productions, MTV Entertainment Studios",United States of America,English,,FALSE,507532
The Inseparables,2023,Jérémie Degruson,Matthieu Gondinet,"Adventure, Animation, Comedy, Family","The animated buddy movie follows the misadventures of Don, a runaway puppet with boundless imaginations, and DJ Doggy Dog, an abandoned plush looking for a friend, who cross paths in Central Park and team up against all odds for a epic friendship adventure in New York.",90,0,311198,6.2,13,25.785,U,en,"nWave Pictures, Octopolis, A Contracorriente Films","Belgium, France, Spain",English,Friendship is the greatest adventure.,FALSE,1059264
Murder Mystery 2,2023,Jeremy Garelick,James D. Stern,"Mystery, Comedy, Crime","After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",91,0,0,6.434,1658,25.75,12,en,"Happy Madison Productions, Echo Films, Vinson Films, Endgame Entertainment, Denver & Delilah Productions",United States of America,English,This mystery is deux or die.,FALSE,638974
The Retirement Plan,2023,Tim Brown,Doug Murray,"Action, Comedy, Crime","When Ashley and her young daughter Sarah get caught up in a criminal enterprise that puts their lives at risk, she turns to the only person who can help: her estranged father Matt, currently living the life of a retired beach bum in the Cayman Islands. Their reunion is fleeting as they are soon tracked down on the island by crime boss Donnie and his lieutenant Bobo. As Ashley, Sarah, and Matt become entangled in an increasingly dangerous web, Ashley quickly learns her father had a secret past that she knew nothing about and that there is more to her father than meets the eye.",103,0,0,6.266,188,25.716,15,en,"Darius Films, Productivity Media, Falling Forward Films, Saturn Films",United States of America,English,People change. Assassins don't.,FALSE,866346
The Royal Hotel,2023,Kitty Green,Iain Canning,"Drama, Thriller","After running out of money while backpacking in a tiny, male-dominated town in the Australian outback, two friends resort to a working holiday at the Royal Hotel. When the locals' behavior starts crossing the line, the girls find themselves trapped in an unnerving situation that grows rapidly out of their control.",91,0,877412,5.31,145,25.666,18,en,"Scarlett Pictures, See-Saw Films","Australia, United Kingdom","English, Español, svenska",A fun adventure is all they wanted.,FALSE,944952
Fist of the Condor,2023,Ernesto Díaz Espinoza,Marko Zaror,Action,"Upon the empire’s fall to invading conquistadors, the 16th-century Incas quickly concealed a sacred manual containing the secrets behind their deadly fighting technique. But after centuries of careful safeguarding, the manual is again at risk of falling into the wrong hands, leaving its rightful guardian to battle the world’s greatest assassins to protect the ancient secrets within.",85,0,0,7.3,67,25.515,15,es,"Cahuenga Boys, Moral Brothers Entertainment",Chile,Español,,FALSE,1064517
Sister Death,2023,Paco Plaza,Enrique López Lavigne,"Drama, Horror","Spain, 1949. Narcisa, a novice, arrives at an old convent, converted into a girls' school, to work as a teacher.",91,0,0,5.97,264,25.451,15,es,El Estudio,Spain,"Latin, Español",,FALSE,955531
Metalocalypse: Army of the Doomstar,2023,Brendon Small,Laura Allen,"Animation, Comedy, Music","After the heroic rescue of Toki Wartooth, DETHKLOK frontman Nathan Explosion finds himself traumatized in a BRUTAL professional and romantic flat-spin all while he is tasked with fulfilling the prophecy and confronting the ultimate songwriting challenge: write the SONG OF SALVATION and save the planet. Can Nathan Explosion look beyond his brutally damaged ego to save his band, stop the Metalocalypse, and finally face the ultimate evil: Salacia?",83,0,0,6.765,49,25.423,15,en,"Williams Street, Titmouse",United States of America,English,It will be brutal.,FALSE,828899
Flora and Son,2023,John Carney,Anthony Bregman,"Music, Comedy, Drama","Single mom Flora is at a loss about what to do with her rebellious teenage son, Max. Her efforts to keep him out of trouble lead to a beat-up acoustic guitar, a washed-up LA musician, and harmony for this frayed Dublin family.",97,0,0,6.957,150,25.164,14A,en,"Likely Story, FilmNation Entertainment, Fifth Season, Distressed Films, Fís Éireann/Screen Ireland, Treasure Entertainment","Ireland, United States of America",English,Talent is relative.,FALSE,1059811
Shrapnel,2023,William Kaufman,Elias Axume,"Action, Thriller, Drama",A former Marine and his old war buddy face off against the Mexican cartel behind the disappearance of his daughter.,89,0,0,5.884,43,25.156,15,en,Premiere Entertainment Group,United States of America,English,They're going to war for his daughter.,FALSE,982932
Lord of Misrule,2023,William Brent Bell,William Brent Bell,Horror,"When the daughter of the town's new priest goes missing during the harvest festival, a desperate search begins, uncovering the town's dark history and resurfacing tales of a mysterious, malevolent spirit that demands sacrifice.",104,0,0,6.176,91,24.94,15,en,"Bigscope Films, The Machine Room, Riverstone Pictures, BCP Asset Management, REP Productions 12, Bankside Films","Ireland, United Kingdom, United States of America",English,Beware the Harvest.,FALSE,853387
Zom 100: Bucket List of the Dead,2023,Yusuke Ishida,Akira Morii,"Comedy, Horror","Bullied by his boss, worked around the clock, he's nothing more than a corporate drone. All it takes is a zombie outbreak for him to finally feel alive!",129,0,0,6.621,539,24.895,R,ja,"Robot Communications, Plus One Entertainment",Japan,日本語,"When zombies flooded the town, a bright light shined into my dark life!",FALSE,1070514
Good Grief,2023,Dan Levy,Dan Levy,"Comedy, Drama","When his husband unexpectedly dies, Marc's world shatters, sending him and his two best friends on a soul-searching trip to Paris that reveals some hard truths they each needed to face.",101,0,0,6.3,113,24.818,R,en,"Not a Real Production Company, SISTER",United States of America,English,Love lost is love found.,FALSE,1036619
Mob Land,2023,Nicholas Maggio,Bernie Gewissler,"Action, Crime, Thriller","A sheriff tries to keep the peace when a desperate family man violently robs a pill mill with his brother-in-law, alerting an enforcer for the New Orleans mafia.",111,0,0,5.5,68,24.811,15,en,"308 Enterprises, TPC, BondIt Media Capital, Grandave Capital, Three Point Capital","Canada, United States of America",English,Crime. Family.,FALSE,979275
Zombie Town,2023,Peter Lepeniotis,John Gillespie,"Horror, Comedy",Amy and Mike unearth a centuries-old curse when they decide to watch an exclusive film reel. The duo must track down an infamous filmmaker and navigate a town of hungry zombies to save the world.,93,0,0,4.2,29,24.783,12,en,"Trimuse Entertainment Inc., Toonz Media Group, Lookout Entertainment, Viva Pictures, Now Entertainment Group",Canada,English,A cursed film. A town full of zombies. Two teens are the only hope.,FALSE,1019444
STILL: A Michael J. Fox Movie,2023,Davis Guggenheim,Annetta Marion,Documentary,A short kid from a Canadian army base becomes the international pop culture darling of the 1980s—only to find the course of his life altered by a stunning diagnosis. What happens when an incurable optimist confronts an incurable disease?,95,0,0,7.631,149,24.771,14A,en,Concordia Studio,United States of America,English,,FALSE,1058699
Adagio,2023,Stefano Sollima,Lorenzo Mieli,"Crime, Thriller, Action","Tangled up with blackmail and crooked cops, the son of a former gangster seeks out his father's old friends, who risk everything to save him.",127,0,0,6.546,196,24.751,NR,it,"Vision Distribution, The Apartment Pictures, AlterEgo","France, Italy",Italiano,,FALSE,1021803
All of Us Strangers,2023,Andrew Haigh,Sarah Harvey,"Romance, Drama, Fantasy","One night in his near-empty tower block in contemporary London, Adam has a chance encounter with a mysterious neighbor Harry, which punctures the rhythm of his everyday life.",105,5000000,14864960,7.478,631,24.662,R,en,"Film4 Productions, Blueprint Pictures, Searchlight Pictures, TSG Entertainment","United Kingdom, United States of America",English,All of us hurt. All of us hope. All of us love.,FALSE,994108
Stephen Curry: Underrated,2023,Peter Nicks,Stephen Curry,Documentary,"The remarkable coming-of-age story of Stephen Curry—one of the most influential, dynamic, and unexpected players in basketball history—and his rise from an undersized college player to a four-time NBA champion.",110,0,0,7.7,77,24.586,14A,en,"A24, Unanimous Media, Proximity Media, NBA Entertainment",United States of America,English,From underdog to unstoppable.,FALSE,860278
Asterix & Obelix: The Middle Kingdom,2023,Guillaume Canet,Alain Attal,"Family, Comedy, Adventure",Gallic heroes and forever friends Asterix and Obelix journey to China to help Princess Sa See save the Empress and her land from a nefarious prince.,112,72000000,46495349,4.904,943,24.583,PG,fr,"Les Éditions Albert René, Les Enfants Terribles, Pathé, Trésor Films, Artémis Productions, Canal+, White and Yellow Films, OCS, TF1, TF1 Films Production","Belgium, France",Français,,FALSE,643215
The Secret Kingdom,2023,Matt Drummond,Matt Drummond,"Family, Fantasy, Adventure","Verity and Peter’s trip to the old family mansion takes a turn when the floor of their room suddenly gives way and they fall into an underground chamber where they are met by a civilization of creatures. The leader tells them that Peter's arrival was foretold as he’s the one who can use Great Clock of the Citadel to restart time and destroy the Shroud, a malevolent creature who feeds on fear itself...",98,348019,0,6.6,62,24.517,PG,en,Signature Entertainment,Australia,English,,FALSE,893345
Megalomaniac,2023,Karim Ouelhaj,Nicolas George,"Horror, Mystery, Thriller","Felix and Martha, the two offspring of legendary serial murderer The Skinner of Mons, grapple with the grotesque legacy bequeathed to them. While Martha works a menial janitorial job, Felix continues his father's reign of terror. But following a brutal attack at work, Martha quickly descends into madness, finding she must come to terms with the infamous blood that flows through her veins.",100,0,0,5.776,38,24.511,NR,fr,"Les Films du Carré, uMedia, Okayss",Belgium,Français,,FALSE,841742
The Portable Door,2023,Jeffrey Walker,Lisa Henson,"Fantasy, Adventure, Comedy","Paul and Sophie, interns at a mysterious London firm, become steadily aware their employers Humphrey and Dennis are anything but conventional – they are disrupting the world of magic by bringing modern corporate strategy to ancient magical practices.",116,0,0,6.6,203,24.473,12,en,"The Jim Henson Company, Story Bridge Films, MEP Capital","Australia, United States of America",English,,FALSE,830896
To Catch a Killer,2023,Damián Szifron,Shailene Woodley,"Thriller, Crime, Drama",Baltimore. New Year's Eve. A talented but troubled police officer is recruited by the FBI's chief investigator to help profile and track down a mass murderer.,119,0,3138750,6.913,993,24.462,14A,en,"FilmNation Entertainment, RainMaker Films","Canada, United States of America",English,A city at the center of chaos. A detective with special skills. A madman testing her limits.,FALSE,605886
Please Don't Destroy: The Treasure of Foggy Mountain,2023,Paul Briganti,Judd Apatow,"Comedy, Adventure","When three friends who live together realize that they don't like their life trajectory, they set off to find a gold treasure that is rumored to be buried in the nearby mountain.",92,0,0,6.098,87,24.348,15,en,"Universal Pictures, Apatow Productions, Mosaic Media Group",United States of America,English,"Three friends, one treasure",FALSE,1002315
The Wrath of Becky,2023,Suzanne Coote,Russ Posternak,"Action, Horror, Thriller","Two years after she escaped a violent attack on her family, 16-year-old Becky attempts to rebuild her life in the care of an older woman -- a kindred spirit named Elena. However, when a violent group known as the Noble Men break into their home, attack them and take their beloved dog, Becky must return to her old ways to protect herself and her loved ones.",83,0,0,6.327,312,24.345,18,en,"Post Film, BoulderLight Pictures, Media Finance Capital, RainMaker Films, Yale Productions",United States of America,English,Hell hath no fury like a 16-year-old scorned.,FALSE,986070
What Happens Later,2023,Meg Ryan,Laura D. Smith,"Romance, Comedy","Two ex-lovers get snowed in at a regional airport overnight. Indefinitely delayed, Willa, a magical thinker, and Bill, a catastrophic one, find themselves just as attracted to and annoyed by one another as they did decades earlier. But as they unpack the riddle of their mutual past and compare their lives to the dreams they once shared, they begin to wonder if their reunion is mere coincidence, or something more enchanted.",104,3000000,3370345,4.988,41,24.328,15,en,"Ten Acre Films, Rockhill Studios, Das Films, Prowess Pictures",United States of America,English,They missed their connection.,FALSE,970948
Jules,2023,Marc Turtletaub,Michael B. Clark,"Comedy, Science Fiction, Drama","A flying saucer lands in the backyard of an elderly suburbanite with memory problems, who forms a bond with the scared alien inside.",87,0,2000000,7.268,233,24.284,12A,en,"Big Beach, Range Media Partners, Protagonist Pictures",United States of America,English,You won't believe what just crashed into Milton's azaleas.,FALSE,1072371
Ferrari,2023,Michael Mann,P.J. van Sandwijk,"History, Drama","Set during the summer of 1957. Ex-racecar driver, Enzo Ferrari, is in crisis. Bankruptcy stalks the company he and his wife, Laura, built from nothing ten years earlier. Their tempestuous marriage struggles with the mourning for one son and the acknowledgement of another.",131,95000000,39220516,6.475,903,24.257,15,en,"STXfilms, Forward Pass, Storyteller Productions, Ketchup Entertainment, Esme Grace Media, Cecchi Gori USA, Iervolino & Lady Bacardi Entertainment","Italy, United Kingdom, United States of America",English,,FALSE,365620
Legion of Super-Heroes,2023,Jeff Wamester,Kimberly S. Moreau,"Animation, Action, Science Fiction","Kara, devastated by the loss of Krypton, struggles to adjust to her new life on Earth. Her cousin, Superman, mentors her and suggests she leave their space-time to attend the Legion Academy in the 31st century, where she makes new friends and a new enemy: Brainiac 5. Meanwhile, she must contend with a mysterious group called the Dark Circle as it searches for a powerful weapon held in the Academy’s vault.",84,0,0,6.506,179,24.226,12,en,"Warner Bros. Animation, DC Entertainment",United States of America,"English, Português",Meet the heroes in a class all their own.,FALSE,1003580
Good Burger 2,2023,Phil Traill,Zack Olin,"Family, Comedy","Dexter Reed is down on his luck after another one of his inventions fails. Ed welcomes Dex back to Good Burger with open arms and gives him his old job back. With a new crew working at Good Burger, Dex devises a plan to get back on his feet but unfortunately puts the fate of Good Burger at risk once again.",91,0,0,6.482,84,24.158,PG,en,"Artists for Artists, Nickelodeon Productions",United States of America,English,The classic combo is back!,FALSE,1101582
